"Player","Team","Number","Position","Birthdate","College","Year"
"Jason Taylor","Miami Dolphins","--","DE","1974-09-01","Akron","1998"
"Shane Burton","Miami Dolphins","--","DE","1974-01-18","Tennessee","1998"
"Percy Ellsworth","New York Giants","--","DB","1974-10-19","Virginia","1998"
"Warrick Dunn","Tampa Bay Buccaneers","--","RB","1975-01-05","Florida State","1998"
"Nate Wayne","Denver Broncos","--","LB","1975-01-12","Mississippi","1998"
"Danny Wuerffel","New Orleans Saints","--","QB","1974-05-27","Florida","1998"
"Jonathan Ogden","Baltimore Ravens","--","OT","1974-07-31","UCLA","1998"
"Matt Birk","Minnesota Vikings","--","C","1976-07-23","Harvard","1998"
"Russell Maryland","Oakland Raiders","--","DT","1969-03-22","Miami","1998"
"Mo Collins","Oakland Raiders","--","OG","1976-09-22","Florida","1998"
"Zach Wiegert","Los Angeles Rams","--","OT","1972-08-16","Nebraska","1998"
"Todd Lyght","Los Angeles Rams","--","DB","1969-02-09","Notre Dame","1998"
"Derrick Mayes","Green Bay Packers","--","WR","1974-01-28","Notre Dame","1998"
"Tony Simmons","New England Patriots","--","WR","1974-12-08","Wisconsin","1998"
"Paul Frase","Baltimore Ravens","--","DE","1965-05-05","Syracuse","1998"
"Terry Hardy","Arizona Cardinals","--","TE","1976-05-31","Southern Mississippi","1998"
"Ed Smith","Atlanta Falcons","--","TE","1969-06-05","","1998"
"Marco Rivera","Green Bay Packers","--","OG","1972-04-26","Penn State","1998"
"Rodney Peete","Philadelphia Eagles","--","QB","1966-03-16","Southern California","1998"
"Orlando Thomas","Minnesota Vikings","--","DB","1972-10-21","Southwestern Louisiana","1998"
"Seth Payne","Jacksonville Jaguars","--","DT","1975-02-12","Cornell","1998"
"Tommy Vardell","Detroit Lions","--","RB","1969-02-20","Stanford","1998"
"O.J. McDuffie","Miami Dolphins","--","WR","1969-12-02","Penn State","1998"
"Jerry Olsavsky","Baltimore Ravens","--","LB","1967-03-29","Pittsburgh","1998"
"Tim Dwight","Atlanta Falcons","--","WR","1975-07-13","Iowa","1998"
"David Szott","Kansas City Chiefs","--","OG","1967-12-12","Penn State","1998"
"Dave Wohlabaugh","New England Patriots","--","C","1972-04-13","Syracuse","1998"
"James Trapp","Oakland Raiders","--","DB","1969-12-28","Clemson","1998"
"Glenn Foley","New York Jets","--","QB","1970-10-10","Boston College","1998"
"Aundray Bruce","Oakland Raiders","--","DE","1966-04-30","Auburn","1998"
"Jamie Martin","Jacksonville Jaguars","--","QB","1970-02-08","Weber State","1998"
"Chad Brown","Seattle Seahawks","--","LB","1970-07-12","Colorado","1998"
"Jim Nelson","Green Bay Packers","--","LB","1975-04-16","Penn State","1998"
"Taje Allen","Los Angeles Rams","--","DB","1973-11-06","Texas","1998"
"Ike Hilliard","New York Giants","--","WR","1976-04-05","Florida","1998"
"Marvin Washington","Denver Broncos","--","DE","1965-10-22","Idaho","1998"
"Artrell Hawkins","Cincinnati Bengals","--","DB","1975-11-24","Cincinnati","1998"
"David Binn","San Diego Chargers","--","C","1972-02-06","California","1998"
"Scott McGarrahan","Green Bay Packers","--","DB","1974-02-12","New Mexico","1998"
"Ronnie Dixon","Kansas City Chiefs","--","DT","1971-05-10","Cincinnati","1998"
"Jamain Stephens","Pittsburgh Steelers","--","OT","1974-01-09","North Carolina A&amp;T","1998"
"Albert Connell","Washington Redskins","--","WR","1974-05-13","Texas A&amp;M","1998"
"Ryan Leaf","San Diego Chargers","--","QB","1976-05-15","Washington State","1998"
"Matt Stover","Baltimore Ravens","--","K","1968-01-27","Louisiana Tech","1998"
"Dan Wilkinson","Washington Redskins","--","DT","1973-03-13","Ohio State","1998"
"Michael Sinclair","Seattle Seahawks","--","DE","1968-01-31","Eastern New Mexico","1998"
"O.J. Santiago","Atlanta Falcons","--","TE","1974-04-04","Kent State","1998"
"Tim Biakabutuka","Carolina Panthers","--","RB","1974-01-24","Michigan","1998"
"William Floyd","Carolina Panthers","--","RB","1972-02-17","Florida State","1998"
"Spencer Folau","Baltimore Ravens","--","OT","1973-04-05","Idaho","1998"
"Iheanyi Uwaezuoke","Miami Dolphins","--","WR","1973-07-24","California","1998"
"Jerry Ellison","Tampa Bay Buccaneers","--","RB","1971-12-20","Tennessee-Chattanooga","1998"
"Bill Romanowski","Denver Broncos","--","LB","1966-04-02","Boston College","1998"
"James Darling","Philadelphia Eagles","--","LB","1974-12-29","Washington State","1998"
"Shane Bonham","San Francisco 49ers","--","DT","1970-10-18","Tennessee","1998"
"Derek Loville","Denver Broncos","--","RB","1968-07-04","Oregon","1998"
"Eric Vance","Tampa Bay Buccaneers","--","DB","1975-07-14","Vanderbilt","1998"
"Jonathan Quinn","Jacksonville Jaguars","--","QB","1975-02-27","Middle Tennessee State","1998"
"Blaine McElmurry","Jacksonville Jaguars","--","DB","1973-10-23","Montana","1998"
"Calvin Branch","Oakland Raiders","--","DB","1974-05-08","Colorado State","1998"
"Travis Davis","Jacksonville Jaguars","--","DB","1973-01-10","Notre Dame","1998"
"Cris Carter","Minnesota Vikings","--","WR","1965-11-25","Ohio State","1998"
"Roland Williams","Los Angeles Rams","--","TE","1975-04-27","Syracuse","1998"
"Deion Sanders","Dallas Cowboys","--","DB","1967-08-09","Florida State","1998"
"Cole Ford","Buffalo Bills","--","K","1972-12-31","Southern California","1998"
"Marcus Coleman","New York Jets","--","DB","1974-05-24","Texas Tech","1998"
"Charles Woodson","Oakland Raiders","--","DB","1976-10-07","Michigan","1998"
"Greg Jackson","San Diego Chargers","--","DB","1966-08-20","Louisiana State","1998"
"Greg Briggs","Minnesota Vikings","--","DB","1968-10-01","Texas Southern","1998"
"Takeo Spikes","Cincinnati Bengals","--","LB","1976-12-17","Auburn","1998"
"Ratcliff Thomas","Indianapolis Colts","--","LB","1974-01-02","Maryland","1998"
"Brad Banta","Indianapolis Colts","--","TE","1970-12-14","Southern California","1998"
"Ryan McNeil","Los Angeles Rams","--","DB","1970-10-04","Miami","1998"
"Stoney Case","Arizona Cardinals","--","QB","1972-07-07","New Mexico","1998"
"John Lynch","Tampa Bay Buccaneers","--","DB","1971-09-25","Stanford","1998"
"Brad Maynard","New York Giants","--","P","1974-02-09","Ball State","1998"
"Ty Law","New England Patriots","--","DB","1974-02-10","Michigan","1998"
"Marc Boutte","Washington Redskins","--","DT","1969-07-26","Louisiana State","1998"
"Otis Smith","New York Jets","--","DB","1965-10-22","Missouri","1998"
"Ken Dilger","Indianapolis Colts","--","TE","1971-02-02","Illinois","1998"
"Jessie Armstead","New York Giants","--","LB","1970-10-26","Miami","1998"
"Waverly Jackson","Indianapolis Colts","--","OG","1972-12-19","Virginia Tech","1998"
"Carl Reeves","Chicago Bears","--","DE","1971-12-17","North Carolina State","1998"
"Derrick Brooks","Tampa Bay Buccaneers","--","LB","1973-04-18","Florida State","1998"
"Tremain Mack","Cincinnati Bengals","--","DB","1974-11-21","Miami","1998"
"Leslie O'Neal","Kansas City Chiefs","--","DE","1964-05-07","Oklahoma State","1998"
"Ken Blackman","Cincinnati Bengals","--","OG","1972-11-08","Illinois","1998"
"Willie Green","Denver Broncos","--","WR","1966-04-02","Mississippi","1998"
"Michael Bates","Carolina Panthers","--","WR","1969-12-19","Arizona","1998"
"Scott Turner","San Diego Chargers","--","DB","1972-02-26","Illinois","1998"
"Steve Lofton","New England Patriots","--","DB","1968-11-26","Texas A&amp;M","1998"
"Antonio Langham","San Francisco 49ers","--","DB","1972-07-31","Alabama","1998"
"Steve Bono","Los Angeles Rams","--","QB","1962-05-11","UCLA","1998"
"Pete Monty","New York Giants","--","LB","1974-07-03","Wisconsin","1998"
"Steve Conley","Pittsburgh Steelers","--","LB","1972-01-18","Arkansas","1998"
"Tracy Scroggins","Detroit Lions","--","DE","1969-09-11","Tulsa","1998"
"Keith Washington","Baltimore Ravens","--","DE","1972-12-18","Nevada-Las Vegas","1998"
"Mike Prior","Green Bay Packers","--","DB","1963-11-14","Illinois State","1998"
"Kevin Hardy","Jacksonville Jaguars","--","LB","1973-07-24","Illinois","1998"
"Lance Brown","Pittsburgh Steelers","--","DB","1972-02-02","Indiana","1998"
"Edgar Bennett","Chicago Bears","--","RB","1969-02-15","Florida State","1998"
"Fernando Smith","Jacksonville Jaguars","--","DE","1971-08-02","Jackson State","1998"
"Keno Hills","New Orleans Saints","--","OG","1973-06-13","Southwestern Louisiana","1998"
"Zach Thomas","Miami Dolphins","--","LB","1973-09-01","Texas Tech","1998"
"Travis Hall","Atlanta Falcons","--","DT","1972-08-03","Brigham Young","1998"
"Darnell Walker","San Francisco 49ers","--","DB","1970-01-17","Oklahoma","1998"
"Ty Detmer","San Francisco 49ers","--","QB","1967-10-30","Brigham Young","1998"
"Jeremy Staat","Pittsburgh Steelers","--","DE","1976-10-10","Arizona State","1998"
"Leroy Hoard","Minnesota Vikings","--","RB","1968-05-15","Michigan","1998"
"Alfred Pupunu","New York Giants","--","TE","1969-10-17","Weber State","1998"
"Larry Izzo","Miami Dolphins","--","LB","1974-09-26","Rice","1998"
"Andrew Jordan","Philadelphia Eagles","--","TE","1972-06-21","Western Carolina","1998"
"Darrick Brilz","Cincinnati Bengals","--","C","1964-02-14","Oregon State","1998"
"Esera Tuaolo","Atlanta Falcons","--","DT","1968-07-11","Oregon State","1998"
"Derrick Graham","Oakland Raiders","--","OG","1967-03-18","Appalachian State","1998"
"Jimmy Hitchcock","Minnesota Vikings","--","DB","1971-11-09","North Carolina","1998"
"Keith Byars","New York Jets","--","RB","1963-10-14","Ohio State","1998"
"James Jenkins","Washington Redskins","--","TE","1967-08-17","Rutgers","1998"
"Jeremy Lincoln","New York Giants","--","DB","1969-04-07","Tennessee","1998"
"Scott Frost","New York Jets","--","DB","1975-01-04","Nebraska","1998"
"Donnell Bennett","Kansas City Chiefs","--","RB","1972-09-14","Miami","1998"
"Andy McCollum","New Orleans Saints","--","C","1970-06-02","Toledo","1998"
"Horace Copeland","Miami Dolphins","--","WR","1971-01-02","Miami","1998"
"Jeff Ogden","Dallas Cowboys","--","WR","1975-02-22","Eastern Washington","1998"
"Dewayne Washington","Pittsburgh Steelers","--","DB","1972-12-27","North Carolina State","1998"
"Glen Steele","Cincinnati Bengals","--","DT","1974-10-04","Michigan","1998"
"Ed McDaniel","Minnesota Vikings","--","LB","1969-02-23","Clemson","1998"
"Jim Pyne","Detroit Lions","--","OG","1971-11-23","Virginia Tech","1998"
"Jason Gildon","Pittsburgh Steelers","--","LB","1972-07-31","Oklahoma State","1998"
"Norbert Davidds-Garrido","Carolina Panthers","--","OT","1972-10-04","Southern California","1998"
"Travian Smith","Oakland Raiders","--","LB","1975-08-26","Oklahoma","1998"
"Tony Richardson","Kansas City Chiefs","--","RB","1971-12-17","Auburn","1998"
"Ronnie Harris","Seattle Seahawks","--","WR","1970-06-04","Oregon","1998"
"Aaron Graham","Arizona Cardinals","--","C","1973-05-22","Nebraska","1998"
"Harvey Williams","Oakland Raiders","--","RB","1967-04-22","Louisiana State","1998"
"Mike Pritchard","Seattle Seahawks","--","WR","1969-10-26","Colorado","1998"
"Chris Dalman","San Francisco 49ers","--","OG","1970-03-15","Stanford","1998"
"Marcus Robinson","Chicago Bears","--","WR","1975-02-27","South Carolina","1998"
"Quentin Neujahr","Jacksonville Jaguars","--","C","1971-01-30","Kansas State","1998"
"Brian Milne","Cincinnati Bengals","--","RB","1973-01-07","Penn State","1998"
"Rodney Harrison","San Diego Chargers","--","DB","1972-12-15","Western Illinois","1998"
"Antony Jordan","Indianapolis Colts","--","LB","1974-12-19","Vanderbilt","1998"
"Tre' Johnson","Washington Redskins","--","OG","1971-08-30","Temple","1998"
"Orlando Pace","Los Angeles Rams","--","OT","1975-11-04","Ohio State","1998"
"Tony Bouie","Tampa Bay Buccaneers","--","DB","1972-08-07","Arizona","1998"
"Darren Sharper","Green Bay Packers","--","DB","1975-11-03","William &amp; Mary","1998"
"Mark Bruener","Pittsburgh Steelers","--","TE","1972-09-16","Washington","1998"
"John Farquhar","New Orleans Saints","--","TE","1972-03-22","Duke","1998"
"John Wade","Jacksonville Jaguars","--","C","1975-01-25","Marshall","1998"
"Steve McKinney","Indianapolis Colts","--","OG","1975-10-15","Texas A&amp;M","1998"
"Raymont Harris","Green Bay Packers","--","RB","1970-12-23","Ohio State","1998"
"Mike Vrabel","Pittsburgh Steelers","--","LB","1975-08-14","Ohio State","1998"
"Ronde Barber","Tampa Bay Buccaneers","--","DB","1975-04-07","Virginia","1998"
"John Burke","San Diego Chargers","--","TE","1971-09-07","Virginia Tech","1998"
"Brian Kelly","Tampa Bay Buccaneers","--","DB","1976-01-14","Southern California","1998"
"Billy Joe Tolliver","New Orleans Saints","--","QB","1966-02-07","Texas Tech","1998"
"Michael Husted","Tampa Bay Buccaneers","--","K","1970-06-16","Virginia","1998"
"Bubba Miller","Philadelphia Eagles","--","C","1973-01-24","Tennessee","1998"
"James Logan","Seattle Seahawks","--","LB","1972-12-06","Memphis","1998"
"Jason Whittle","New York Giants","--","OG","1975-03-07","Southwest Missouri State","1998"
"Ray Brown","San Francisco 49ers","--","OG","1962-12-12","Arkansas State","1998"
"Billy Jenkins","Los Angeles Rams","--","DB","1974-07-08","Howard","1998"
"Tom Ackerman","New Orleans Saints","--","OG","1972-09-06","Eastern Washington","1998"
"Mike Minter","Carolina Panthers","--","DB","1974-01-15","Nebraska","1998"
"Brett Favre","Green Bay Packers","--","QB","1969-10-10","Southern Mississippi","1998"
"Raleigh McKenzie","San Diego Chargers","--","OG","1963-02-08","Tennessee","1998"
"Antonio Edwards","Atlanta Falcons","--","DE","1970-03-10","Valdosta State","1998"
"Larry Tharpe","Detroit Lions","--","OT","1970-11-19","Tennessee State","1998"
"William White","Atlanta Falcons","--","DB","1966-02-19","Ohio State","1998"
"Orlando Bobo","Minnesota Vikings","--","OG","1974-02-09","Louisiana-Monroe","1998"
"Billy Joe Hobert","New Orleans Saints","--","QB","1971-01-08","Washington","1998"
"Patrise Alexander","Washington Redskins","--","DT","1972-10-23","Southwestern Louisiana","1998"
"Sam Shade","Cincinnati Bengals","--","DB","1973-06-14","Alabama","1998"
"Trent Dilfer","Tampa Bay Buccaneers","--","QB","1972-03-13","Fresno State","1998"
"Eric Turner","Oakland Raiders","--","DB","1968-09-20","UCLA","1998"
"Ray Zellars","New Orleans Saints","--","RB","1973-03-25","Notre Dame","1998"
"Dale Carter","Kansas City Chiefs","--","DB","1969-11-28","Tennessee","1998"
"Tim Hauck","Indianapolis Colts","--","DB","1966-12-20","Montana","1998"
"Ray Crockett","Denver Broncos","--","DB","1967-01-05","Baylor","1998"
"Greg Hill","Los Angeles Rams","--","RB","1972-02-23","Texas A&amp;M","1998"
"Steve Wisniewski","Oakland Raiders","--","OG","1967-04-07","Penn State","1998"
"Tory James","Denver Broncos","--","DB","1973-05-18","Louisiana State","1998"
"Ryan Yarborough","Baltimore Ravens","--","WR","1971-04-26","Wyoming","1998"
"Leo Araguz","Oakland Raiders","--","P","1970-01-18","Stephen F. Austin","1998"
"Brian Kinchen","Baltimore Ravens","--","TE","1965-08-06","Louisiana State","1998"
"Ian Beckles","Philadelphia Eagles","--","OG","1967-07-20","Indiana","1998"
"Marvcus Patton","Washington Redskins","--","LB","1967-05-01","UCLA","1998"
"Jerome Bettis","Pittsburgh Steelers","--","RB","1972-02-16","Notre Dame","1998"
"Mike Flynn","Baltimore Ravens","--","OG","1974-06-15","Maine","1998"
"Bill Schroeder","Green Bay Packers","--","WR","1971-01-09","Wisconsin-LaCrosse","1998"
"Lawyer Milloy","New England Patriots","--","DB","1973-11-14","Washington","1998"
"Chris Boniol","Philadelphia Eagles","--","K","1971-12-09","Louisiana Tech","1998"
"Mario Bates","Arizona Cardinals","--","RB","1973-01-16","Arizona State","1998"
"Jason Odom","Tampa Bay Buccaneers","--","OT","1974-03-31","Florida","1998"
"Todd Rucci","New England Patriots","--","OG","1970-07-14","Penn State","1998"
"Carl Pickens","Cincinnati Bengals","--","WR","1970-03-23","Tennessee","1998"
"Ken Irvin","Buffalo Bills","--","DB","1972-07-11","Memphis","1998"
"Todd Kinchen","Atlanta Falcons","--","WR","1969-01-07","Louisiana State","1998"
"Dan Neil","Denver Broncos","--","OG","1973-10-21","Texas","1998"
"Bryan Still","San Diego Chargers","--","WR","1974-06-03","Virginia Tech","1998"
"Tom Myslinski","Indianapolis Colts","--","OG","1968-12-07","Tennessee","1998"
"Chester McGlockton","Kansas City Chiefs","--","DT","1969-09-16","Clemson","1998"
"Troy Aikman","Dallas Cowboys","--","QB","1966-11-21","UCLA","1998"
"Elijah Alexander","Indianapolis Colts","--","LB","1970-08-08","Kansas State","1998"
"Jerome Pathon","Indianapolis Colts","--","WR","1975-12-16","Washington","1998"
"Freddie Solomon","Philadelphia Eagles","--","WR","1972-08-15","South Carolina State","1998"
"Jamal Duff","Washington Redskins","--","DE","1972-03-11","San Diego State","1998"
"James Hasty","Kansas City Chiefs","--","DB","1965-05-23","Washington State","1998"
"Trey Junkin","Arizona Cardinals","--","TE","1961-01-23","Louisiana Tech","1998"
"Bernard Whittington","Indianapolis Colts","--","DT","1971-08-20","Indiana","1998"
"Jon Witman","Pittsburgh Steelers","--","RB","1972-06-01","Penn State","1998"
"Brady Smith","New Orleans Saints","--","DE","1973-06-05","Colorado State","1998"
"Edward Jasper","Philadelphia Eagles","--","DT","1973-01-18","Texas A&amp;M","1998"
"Herman Moore","Detroit Lions","--","WR","1969-10-20","Virginia","1998"
"Michael Westbrook","Washington Redskins","--","WR","1972-07-07","Colorado","1998"
"Corey Chavous","Arizona Cardinals","--","DB","1976-01-05","Vanderbilt","1998"
"Frank Middleton","Tampa Bay Buccaneers","--","OG","1974-10-25","Arizona","1998"
"Marty Moore","New England Patriots","--","LB","1971-03-19","Kentucky","1998"
"John Jurkovic","Jacksonville Jaguars","--","DT","1967-08-18","Eastern Illinois","1998"
"Vinson Smith","New Orleans Saints","--","LB","1965-07-03","East Carolina","1998"
"Jeff Blackshear","Baltimore Ravens","--","OG","1969-03-29","Northeast Louisiana","1998"
"Keith Poole","New Orleans Saints","--","WR","1974-06-18","Arizona State","1998"
"Harry Swayne","Denver Broncos","--","OT","1965-02-02","Rutgers","1998"
"Shannon Sharpe","Denver Broncos","--","TE","1968-06-26","Savannah State","1998"
"Eddie Kennison","Los Angeles Rams","--","WR","1973-01-20","Louisiana State","1998"
"Dave Moore","Tampa Bay Buccaneers","--","TE","1969-11-11","Pittsburgh","1998"
"Cris Dishman","Washington Redskins","--","DB","1965-08-13","Purdue","1998"
"E.G. Green","Indianapolis Colts","--","WR","1975-06-28","Florida State","1998"
"Roell Preston","Green Bay Packers","--","WR","1972-06-23","Mississippi","1998"
"Greg Clark","San Francisco 49ers","--","TE","1972-04-07","Stanford","1998"
"Shawn Wooden","Miami Dolphins","--","DB","1973-10-23","Notre Dame","1998"
"Michael McCrary","Baltimore Ravens","--","DE","1970-07-07","Wake Forest","1998"
"Ken Harvey","Washington Redskins","--","LB","1965-05-06","California","1998"
"Peter Boulware","Baltimore Ravens","--","LB","1974-12-18","Florida State","1998"
"Frank Reich","Detroit Lions","--","QB","1961-12-04","Maryland","1998"
"Chris Chandler","Atlanta Falcons","--","QB","1965-10-12","Washington","1998"
"Michael Bankston","Cincinnati Bengals","--","DE","1970-03-12","Sam Houston State","1998"
"Napoleon Kaufman","Oakland Raiders","--","RB","1973-06-07","Washington","1998"
"Patrick Mannelly","Chicago Bears","--","OT","1975-04-18","Duke","1998"
"Dan Marino","Miami Dolphins","--","QB","1961-09-15","Pittsburgh","1998"
"Robert Chancey","Chicago Bears","--","RB","1972-09-07","","1998"
"George Coghill","Denver Broncos","--","DB","1970-03-30","Wake Forest","1998"
"Andy Heck","Chicago Bears","--","OT","1967-01-01","Notre Dame","1998"
"LeRoy Butler","Green Bay Packers","--","DB","1968-07-19","Florida State","1998"
"Jason Fisk","Minnesota Vikings","--","DT","1972-09-04","Stanford","1998"
"Rob Fredrickson","Detroit Lions","--","LB","1971-05-13","Michigan State","1998"
"Ray Roberts","Detroit Lions","--","OT","1969-06-03","Virginia","1998"
"Jason Simmons","Pittsburgh Steelers","--","DB","1976-03-30","Arizona State","1998"
"Eric Hill","Los Angeles Rams","--","LB","1966-11-14","Louisiana State","1998"
"Micheal Barrow","Carolina Panthers","--","LB","1970-04-19","Miami","1998"
"Mike Dulaney","Carolina Panthers","--","RB","1970-09-09","North Carolina","1998"
"Jerald Sowell","New York Jets","--","RB","1974-01-21","Tulane","1998"
"Courtney Hawkins","Pittsburgh Steelers","--","WR","1969-12-12","Michigan State","1998"
"John Mangum","Chicago Bears","--","DB","1967-03-16","Alabama","1998"
"Van Tuinei","Indianapolis Colts","--","DT","1971-02-16","Arizona","1998"
"Tom Nalen","Denver Broncos","--","C","1971-05-13","Boston College","1998"
"Daryl Porter","Buffalo Bills","--","DB","1974-01-16","Boston College","1998"
"Robert Jones","Miami Dolphins","--","LB","1969-09-27","East Carolina","1998"
"Jeff Lageman","Jacksonville Jaguars","--","DE","1967-07-18","Virginia","1998"
"Darrell Green","Washington Redskins","--","DB","1960-02-15","Texas A&amp;M-Kingsville","1998"
"Todd Perry","Chicago Bears","--","OG","1970-11-28","Kentucky","1998"
"Henry Ellard","New England Patriots","--","WR","1961-07-21","Fresno State","1998"
"Rod Rutledge","New England Patriots","--","TE","1975-08-12","Alabama","1998"
"Paul Grasmanis","Chicago Bears","--","DT","1974-08-02","Notre Dame","1998"
"Jay Riemersma","Buffalo Bills","--","TE","1973-05-17","Michigan","1998"
"Clarence Love","Philadelphia Eagles","--","DB","1975-06-16","Toledo","1998"
"Orpheus Roye","Pittsburgh Steelers","--","DT","1973-01-21","Florida State","1998"
"Tim Hanshaw","San Francisco 49ers","--","OG","1970-04-27","Brigham Young","1998"
"John Thierry","Chicago Bears","--","DE","1971-09-04","Alcorn State","1998"
"Andre Rison","Kansas City Chiefs","--","WR","1967-03-18","Michigan State","1998"
"Ron Rivers","Detroit Lions","--","RB","1971-11-13","Fresno State","1998"
"Jerris McPhail","Detroit Lions","--","RB","1972-06-26","East Carolina","1998"
"John Friesz","Seattle Seahawks","--","QB","1967-05-19","Idaho","1998"
"Keenan McCardell","Jacksonville Jaguars","--","WR","1970-01-06","Nevada-Las Vegas","1998"
"Daniel Stubbs","Miami Dolphins","--","DE","1965-01-03","Miami","1998"
"Tom Hutton","Philadelphia Eagles","--","P","1972-07-08","Tennessee","1998"
"Greg DeLong","Minnesota Vikings","--","TE","1973-04-03","North Carolina","1998"
"Derrick Deese","San Francisco 49ers","--","OT","1970-05-17","Southern California","1998"
"Koy Detmer","Philadelphia Eagles","--","QB","1973-07-05","Colorado","1998"
"Maa Tanuvasa","Denver Broncos","--","DE","1970-11-06","Hawaii","1998"
"Tyji Armstrong","Los Angeles Rams","--","TE","1970-10-03","Mississippi","1998"
"London Fletcher","Los Angeles Rams","--","LB","1975-05-19","John Carroll","1998"
"Ray Buchanan","Atlanta Falcons","--","DB","1971-09-29","Louisville","1998"
"Peyton Manning","Indianapolis Colts","--","QB","1976-03-24","Tennessee","1998"
"Bernard Holsey","New York Giants","--","DE","1973-12-10","Duke","1998"
"Nolan Harrison","Pittsburgh Steelers","--","DE","1969-01-25","Indiana","1998"
"Phil Hansen","Buffalo Bills","--","DE","1968-05-20","North Dakota State","1998"
"Duane Clemons","Minnesota Vikings","--","DE","1974-05-23","California","1998"
"Blake Spence","New York Jets","--","TE","1975-06-20","Oregon","1998"
"Ernie Mills","Dallas Cowboys","--","WR","1968-10-28","Florida","1998"
"Greg Bishop","New York Giants","--","OG","1971-05-02","Pacific","1998"
"Kerry Jenkins","New York Jets","--","OG","1973-09-06","Troy State","1998"
"Natrone Means","San Diego Chargers","--","RB","1972-04-26","North Carolina","1998"
"Larry Moore","Indianapolis Colts","--","OG","1975-06-01","Brigham Young","1998"
"Michael Strahan","New York Giants","--","DE","1971-11-21","Texas Southern","1998"
"Fabien Bownes","Chicago Bears","--","WR","1972-02-29","Western Illinois","1998"
"George Koonce","Green Bay Packers","--","LB","1968-10-15","East Carolina","1998"
"Russell Copeland","Green Bay Packers","--","WR","1971-11-04","Memphis","1998"
"Keith Sims","Washington Redskins","--","OG","1967-06-17","Iowa State","1998"
"Austin Robbins","New Orleans Saints","--","DT","1971-03-01","North Carolina","1998"
"Randall Cunningham","Minnesota Vikings","--","QB","1963-03-27","Nevada-Las Vegas","1998"
"Todd Washington","Tampa Bay Buccaneers","--","OG","1976-07-19","Virginia Tech","1998"
"Ike Reese","Philadelphia Eagles","--","LB","1973-10-16","Michigan State","1998"
"Jeff Mitchell","Baltimore Ravens","--","C","1974-01-29","Florida","1998"
"Thomas Randolph","Cincinnati Bengals","--","DB","1970-10-05","Kansas State","1998"
"Randy Moss","Minnesota Vikings","--","WR","1977-02-13","Marshall","1998"
"Nate Jacquet","Miami Dolphins","--","WR","1975-09-02","San Diego State","1998"
"Trent Green","Washington Redskins","--","QB","1970-07-09","Indiana","1998"
"O.J. Brigance","Miami Dolphins","--","LB","1969-09-29","Rice","1998"
"Thomas Smith","Buffalo Bills","--","DB","1970-12-05","North Carolina","1998"
"Pat Tillman","Arizona Cardinals","--","DB","1976-11-06","Arizona State","1998"
"Dale Hellestrae","Dallas Cowboys","--","OG","1962-07-11","Southern Methodist","1998"
"Tony McCoy","Indianapolis Colts","--","DT","1969-06-10","Florida","1998"
"Nate Hemsley","Dallas Cowboys","--","LB","1974-05-15","Syracuse","1998"
"Earl Holmes","Pittsburgh Steelers","--","LB","1973-04-28","Florida A&amp;M","1998"
"Antonio Freeman","Green Bay Packers","--","WR","1972-05-27","Virginia Tech","1998"
"Tiki Barber","New York Giants","--","RB","1975-04-07","Virginia","1998"
"Dermontti Dawson","Pittsburgh Steelers","--","C","1965-06-17","Kentucky","1998"
"Kyle Turley","New Orleans Saints","--","OT","1975-09-24","San Diego State","1998"
"Adam Timmerman","Green Bay Packers","--","OG","1971-08-14","South Dakota State","1998"
"Willie Roaf","New Orleans Saints","--","OT","1970-04-18","Louisiana Tech","1998"
"Mark Smith","Arizona Cardinals","--","DT","1974-08-28","Auburn","1998"
"Jeff Burris","Indianapolis Colts","--","DB","1972-06-07","Notre Dame","1998"
"Al Harris","Philadelphia Eagles","--","DB","1974-12-07","Texas A&amp;M-Kingsville","1998"
"Mark Rodenhauser","Pittsburgh Steelers","--","C","1961-06-01","Illinois State","1998"
"Tim Bowens","Miami Dolphins","--","DT","1973-02-07","Mississippi","1998"
"Chris Hudson","Jacksonville Jaguars","--","DB","1971-10-06","Colorado","1998"
"Patrick Johnson","Baltimore Ravens","--","WR","1976-08-10","Oregon","1998"
"Fred Beasley","San Francisco 49ers","--","RB","1974-09-18","Auburn","1998"
"Lonnie Johnson","Buffalo Bills","--","TE","1971-02-14","Florida State","1998"
"Ray Lucas","New York Jets","--","QB","1972-08-06","Rutgers","1998"
"Perry Carter","Oakland Raiders","--","DB","1971-08-15","Southern Mississippi","1998"
"Steve Scifres","Carolina Panthers","--","OT","1972-01-22","Wyoming","1998"
"Pete Pierson","Tampa Bay Buccaneers","--","OT","1971-02-04","Washington","1998"
"Anthony Lynn","Denver Broncos","--","RB","1968-12-21","Texas Tech","1998"
"Lance Johnstone","Oakland Raiders","--","DE","1973-06-11","Temple","1998"
"Ronald McKinnon","Arizona Cardinals","--","LB","1973-09-20","North Alabama","1998"
"Harold Bishop","Pittsburgh Steelers","--","TE","1970-04-08","Louisiana State","1998"
"Kenny Wheaton","Dallas Cowboys","--","DB","1975-03-08","Oregon","1998"
"Antonio London","Green Bay Packers","--","LB","1971-04-14","Alabama","1998"
"Cory Raymer","Washington Redskins","--","C","1973-03-03","Wisconsin","1998"
"Jeff Posey","San Francisco 49ers","--","LB","1975-08-14","Southern Mississippi","1998"
